geocode,Municipio,value
250010,Água Branca,0.38
250020,Aguiar,0.65
250030,Alagoa Grande,0.60
250040,Alagoa Nova,0.49
250050,Alagoinha,0.45
250053,Alcantil,0.52
250057,Algodão de Jandaíra,0.49
250060,Alhandra,0.06
250073,Amparo,0.46
250077,Aparecida,0.69
250080,Araçagi,0.64
250090,Arara,0.96
250100,Araruna,0.44
250110,Areia,0.47
250115,Areia de Baraúnas,0.30
250120,Areial,0.66
250130,Aroeiras,0.62
250135,Assunção,0.38
250140,Baía da Traição,0.08
250150,Bananeiras,0.52
250153,Baraúna,0.57
250160,Barra de Santa Rosa,0.59
250157,Barra de Santana,0.69
250170,Barra de São Miguel,0.55
250180,Bayeux,0.16
250190,Belém,0.75
250200,Belém do Brejo do Cruz,0.51
250205,Bernardino Batista,0.33
250210,Boa Ventura,0.49
250215,Boa Vista,0.42
250220,Bom Jesus,0.56
250230,Bom Sucesso,0.86
250240,Bonito de Santa Fé,0.32
250250,Boqueirão,0.47
250270,Borborema,0.52
250280,Brejo do Cruz,0.37
250290,Brejo dos Santos,0.60
250300,Caaporã,0.00
250310,Cabaceiras,0.66
250320,Cabedelo,0.12
250330,Cachoeira dos Índios,0.60
250340,Cacimba de Areia,0.45
250350,Cacimba de Dentro,0.69
250355,Cacimbas,0.28
250360,Caiçara,0.58
250370,Cajazeiras,0.48
250375,Cajazeirinhas,0.36
250380,Caldas Brandão,0.54
250390,Camalaú,0.65
250400,Campina Grande,0.32
250403,Capim,0.18
250407,Caraúbas,0.77
250410,Carrapateira,0.23
250415,Casserengue,0.52
250420,Catingueira,0.44
250430,Catolé do Rocha,0.44
250435,Caturité,0.49
250440,Conceição,0.43
250450,Condado,0.69
250460,Conde,0.04
250470,Congo,0.68
250480,Coremas,0.51
250485,Coxixola,0.95
250490,Cruz do Espírito Santo,0.18
250500,Cubati,0.52
250510,Cuité,0.68
250523,Cuité de Mamanguape,0.50
250520,Cuitegi,0.51
250527,Curral de Cima,0.53
250530,Curral Velho,0.26
250535,Damião,0.43
250540,Desterro,0.50
250560,Diamante,0.38
250570,Dona Inês,0.62
250580,Duas Estradas,0.79
250590,Emas,0.31
250600,Esperança,0.51
250610,Fagundes,0.62
250620,Frei Martinho,1.00
250625,Gado Bravo,0.51
250630,Guarabira,0.40
250640,Gurinhém,0.49
250650,Gurjão,0.62
250660,Ibiara,0.71
250260,Igaracy,0.54
250670,Imaculada,0.22
250680,Ingá,0.58
250690,Itabaiana,0.56
250700,Itaporanga,0.33
250710,Itapororoca,0.48
250720,Itatuba,0.46
250730,Jacaraú,0.61
250740,Jericó,0.59
250750,João Pessoa,0.25
251365,Joca Claudino,0.53
250760,Juarez Távora,0.52
250770,Juazeirinho,0.30
250780,Junco do Seridó,0.37
250790,Juripiranga,0.52
250800,Juru,0.41
250810,Lagoa,0.65
250820,Lagoa de Dentro,0.72
250830,Lagoa Seca,0.40
250840,Lastro,0.58
