geocode,Municipio,value
250010,Água Branca,0.38
250020,Aguiar,0.48
250030,Alagoa Grande,0.53
250040,Alagoa Nova,0.49
250050,Alagoinha,0.55
250053,Alcantil,0.46
250057,Algodão de Jandaíra,0.68
250060,Alhandra,0.24
250073,Amparo,0.51
250077,Aparecida,0.55
250080,Araçagi,0.51
250090,Arara,0.76
250100,Araruna,0.41
250110,Areia,0.47
250115,Areia de Baraúnas,0.40
250120,Areial,0.51
250130,Aroeiras,0.42
250135,Assunção,0.71
250140,Baía da Traição,0.22
250150,Bananeiras,0.39
250153,Baraúna,0.75
250160,Barra de Santa Rosa,0.62
250157,Barra de Santana,0.40
250170,Barra de São Miguel,0.72
250180,Bayeux,0.92
250190,Belém,0.80
250200,Belém do Brejo do Cruz,0.74
250205,Bernardino Batista,0.04
250210,Boa Ventura,0.64
250215,Boa Vista,0.42
250220,Bom Jesus,0.58
250230,Bom Sucesso,0.59
250240,Bonito de Santa Fé,0.48
250250,Boqueirão,0.56
250270,Borborema,0.72
250280,Brejo do Cruz,0.57
250290,Brejo dos Santos,0.75
250300,Caaporã,0.42
250310,Cabaceiras,0.52
250320,Cabedelo,0.73
250330,Cachoeira dos Índios,0.53
250340,Cacimba de Areia,0.46
250350,Cacimba de Dentro,0.58
250355,Cacimbas,0.00
250360,Caiçara,0.74
250370,Cajazeiras,0.50
250375,Cajazeirinhas,0.42
250380,Caldas Brandão,0.57
250390,Camalaú,0.54
250400,Campina Grande,0.54
250403,Capim,0.51
250407,Caraúbas,0.67
250410,Carrapateira,0.78
250415,Casserengue,0.55
250420,Catingueira,0.56
250430,Catolé do Rocha,0.52
250435,Caturité,0.38
250440,Conceição,0.52
250450,Condado,0.65
250460,Conde,0.39
250470,Congo,0.80
250480,Coremas,0.59
250485,Coxixola,0.95
250490,Cruz do Espírito Santo,0.26
250500,Cubati,0.60
250510,Cuité,0.67
250523,Cuité de Mamanguape,0.40
250520,Cuitegi,0.68
250527,Curral de Cima,0.31
250530,Curral Velho,0.64
250535,Damião,0.47
250540,Desterro,0.46
250560,Diamante,0.53
250570,Dona Inês,0.57
250580,Duas Estradas,0.83
250590,Emas,0.54
250600,Esperança,0.55
250610,Fagundes,0.49
250620,Frei Martinho,0.92
250625,Gado Bravo,0.17
250630,Guarabira,0.59
250640,Gurinhém,0.44
250650,Gurjão,0.61
250660,Ibiara,0.76
250260,Igaracy,0.56
250670,Imaculada,0.32
250680,Ingá,0.52
250690,Itabaiana,0.61
250700,Itaporanga,0.50
250710,Itapororoca,0.65
250720,Itatuba,0.49
250730,Jacaraú,0.60
250740,Jericó,0.55
250750,João Pessoa,1.00
251365,Joca Claudino,0.29
250760,Juarez Távora,0.72
250770,Juazeirinho,0.39
250780,Junco do Seridó,0.57
250790,Juripiranga,0.83
250800,Juru,0.33
250810,Lagoa,0.52
250820,Lagoa de Dentro,0.60
250830,Lagoa Seca,0.46
250840,Lastro,0.49
250850,Livramento,0.47
250855,Logradouro,0.52
250860,Lucena,0.41
250870,Mãe d'Água,0.24
250880,Malta,0.79
250890,Mamanguape,0.58
250900,Manaíra,0.63
250905,Marcação,0.07
250910,Mari,0.71
250915,Marizópolis,0.64
250920,Massaranduba,0.44
250930,Mataraca,0.49
250933,Matinhas,0.27
250937,Mato Grosso,0.30
250939,Maturéia,0.41
250940,Mogeiro,0.42
250950,Montadas,0.77
250960,Monte Horebe,0.40
250970,Monteiro,0.56
250980,Mulungu,0.50
250990,Natuba,0.37
251000,Nazarezinho,0.39
251010,Nova Floresta,0.78
251020,Nova Olinda,0.38
251030,Nova Palmeira,0.46
251040,Olho d'Água,0.59
251050,Olivedos,0.63
251060,Ouro Velho,0.67
251065,Parari,0.62
251070,Passagem,0.24
251080,Patos,0.66
251090,Paulista,0.47
251100,Pedra Branca,0.53
251110,Pedra Lavrada,0.50
251120,Pedras de Fogo,0.45
251272,Pedro Régis,0.35
251130,Piancó,0.60
251140,Picuí,0.58
251150,Pilar,0.65
251160,Pilões,0.35
251170,Pilõezinhos,0.46
251180,Pirpirituba,0.78
251190,Pitimbu,0.27
251200,Pocinhos,0.65
251203,Poço Dantas,0.09
251207,Poço de José de Moura,0.38
251210,Pombal,0.80
251220,Prata,0.66
251230,Princesa Isabel,0.48
251240,Puxinanã,0.25
251250,Queimadas,0.79
251260,Quixabá,0.13
251270,Remígio,0.67
251274,Riachão,0.48
251275,Riachão do Bacamarte,0.68
251276,Riachão do Poço,0.43
251278,Riacho de Santo Antônio,0.63
251280,Riacho dos Cavalos,0.32
251290,Rio Tinto,0.62
251300,Salgadinho,0.23
251310,Salgado de São Félix,0.81
251315,Santa Cecília,0.42
251320,Santa Cruz,0.68
251330,Santa Helena,0.90
251335,Santa Inês,0.12
251340,Santa Luzia,0.71
251370,Santa Rita,0.54
251380,Santa Teresinha,0.67
251350,Santana de Mangueira,0.18
251360,Santana dos Garrotes,0.44
251385,Santo André,0.65
251392,São Bentinho,0.63
251390,São Bento,0.45
251396,São Domingos,0.56
251394,São Domingos do Cariri,0.65
251398,São Francisco,0.64
251400,São João do Cariri,0.58
250070,São João do Rio do Peixe,0.47
251410,São João do Tigre,0.58
251420,São José da Lagoa Tapada,0.42
251430,São José de Caiana,0.37
251440,São José de Espinharas,0.78
251450,São José de Piranhas,0.57
251455,São José de Princesa,0.36
251460,São José do Bonfim,0.42
251465,São José do Brejo do Cruz,0.50
