geocode,Municipio,value
250010,Água Branca,0.02
250020,Aguiar,0.07
250030,Alagoa Grande,0.03
250040,Alagoa Nova,0.02
250050,Alagoinha,0.01
250053,Alcantil,0.01
250057,Algodão de Jandaíra,0.00
250060,Alhandra,0.03
250073,Amparo,0.00
250077,Aparecida,0.00
250080,Araçagi,0.01
250090,Arara,0.03
250100,Araruna,0.05
250110,Areia,0.01
250115,Areia de Baraúnas,0.00
250120,Areial,0.00
250130,Aroeiras,0.02
250135,Assunção,0.02
250140,Baía da Traição,0.01
250150,Bananeiras,0.02
250153,Baraúna,0.01
250160,Barra de Santa Rosa,0.00
250157,Barra de Santana,0.04
250170,Barra de São Miguel,0.05
250180,Bayeux,0.16
250190,Belém,0.01
250200,Belém do Brejo do Cruz,0.02
250205,Bernardino Batista,0.06
250210,Boa Ventura,0.07
250215,Boa Vista,0.02
250220,Bom Jesus,0.00
250230,Bom Sucesso,0.00
250240,Bonito de Santa Fé,0.02
250250,Boqueirão,0.03
250270,Borborema,0.00
250280,Brejo do Cruz,0.01
250290,Brejo dos Santos,0.00
250300,Caaporã,0.04
250310,Cabaceiras,0.00
250320,Cabedelo,0.03
250330,Cachoeira dos Índios,0.07
250340,Cacimba de Areia,0.00
250350,Cacimba de Dentro,0.01
250355,Cacimbas,0.02
250360,Caiçara,0.03
250370,Cajazeiras,0.19
250375,Cajazeirinhas,0.02
250380,Caldas Brandão,0.03
250390,Camalaú,0.33
250400,Campina Grande,0.05
250403,Capim,0.02
250407,Caraúbas,0.01
250410,Carrapateira,0.00
250415,Casserengue,0.01
250420,Catingueira,0.22
250430,Catolé do Rocha,0.05
250435,Caturité,0.01
250440,Conceição,0.03
250450,Condado,0.03
250460,Conde,0.04
250470,Congo,0.01
250480,Coremas,0.01
250485,Coxixola,0.00
250490,Cruz do Espírito Santo,0.05
250500,Cubati,0.00
250510,Cuité,0.01
250523,Cuité de Mamanguape,0.04
250520,Cuitegi,0.01
250527,Curral de Cima,0.13
250530,Curral Velho,0.33
250535,Damião,0.00
250540,Desterro,0.03
250560,Diamante,0.01
250570,Dona Inês,0.00
250580,Duas Estradas,0.00
250590,Emas,0.06
250600,Esperança,0.05
250610,Fagundes,0.04
250620,Frei Martinho,0.00
250625,Gado Bravo,0.01
250630,Guarabira,0.01
250640,Gurinhém,0.04
250650,Gurjão,0.06
250660,Ibiara,0.01
250260,Igaracy,0.50
250670,Imaculada,0.03
250680,Ingá,0.02
250690,Itabaiana,0.06
250700,Itaporanga,0.05
250710,Itapororoca,0.03
250720,Itatuba,0.02
250730,Jacaraú,0.02
250740,Jericó,0.10
250750,João Pessoa,0.05
251365,Joca Claudino,0.00
250760,Juarez Távora,0.01
250770,Juazeirinho,0.01
250780,Junco do Seridó,0.03
250790,Juripiranga,0.05
250800,Juru,0.01
250810,Lagoa,0.00
250820,Lagoa de Dentro,0.00
250830,Lagoa Seca,0.02
250840,Lastro,0.00
250850,Livramento,0.00
250855,Logradouro,0.16
250860,Lucena,0.02
250870,Mãe d'Água,0.04
250880,Malta,0.04
250890,Mamanguape,0.02
250900,Manaíra,0.00
250905,Marcação,0.03
250910,Mari,0.02
250915,Marizópolis,0.03
250920,Massaranduba,0.02
250930,Mataraca,0.04
250933,Matinhas,0.03
250937,Mato Grosso,0.06
250939,Maturéia,0.05
250940,Mogeiro,0.05
250950,Montadas,0.02
250960,Monte Horebe,0.00
250970,Monteiro,0.12
250980,Mulungu,0.01
250990,Natuba,0.00
251000,Nazarezinho,0.06
251010,Nova Floresta,0.01
251020,Nova Olinda,0.50
251030,Nova Palmeira,0.00
251040,Olho d'Água,0.10
251050,Olivedos,0.01
251060,Ouro Velho,0.00
251065,Parari,1.00
251070,Passagem,0.00
251080,Patos,0.03
251090,Paulista,0.03
251100,Pedra Branca,0.00
251110,Pedra Lavrada,0.03
251120,Pedras de Fogo,0.01
251272,Pedro Régis,0.00
251130,Piancó,0.04
251140,Picuí,0.01
251150,Pilar,0.01
251160,Pilões,0.03
251170,Pilõezinhos,0.01
251180,Pirpirituba,0.12
251190,Pitimbu,0.02
251200,Pocinhos,0.02
251203,Poço Dantas,0.07
251207,Poço de José de Moura,0.00
251210,Pombal,0.03
251220,Prata,0.67
251230,Princesa Isabel,0.04
251240,Puxinanã,0.22
251250,Queimadas,0.02
251260,Quixabá,0.08
251270,Remígio,0.02
251274,Riachão,0.02
251275,Riachão do Bacamarte,0.01
251276,Riachão do Poço,0.02
251278,Riacho de Santo Antônio,0.00
251280,Riacho dos Cavalos,0.00
251290,Rio Tinto,0.02
251300,Salgadinho,0.00
251310,Salgado de São Félix,0.02
251315,Santa Cecília,0.00
251320,Santa Cruz,0.08
251330,Santa Helena,0.04
251335,Santa Inês,0.04
251340,Santa Luzia,0.03
251370,Santa Rita,0.03
251380,Santa Teresinha,0.02
251350,Santana de Mangueira,0.11
251360,Santana dos Garrotes,0.12
251385,Santo André,0.00
251392,São Bentinho,0.01
251390,São Bento,0.03
