geocode,Municipio,value
250010,Água Branca,0.71
250020,Aguiar,0.75
250030,Alagoa Grande,0.73
250040,Alagoa Nova,0.62
250050,Alagoinha,0.81
250053,Alcantil,0.54
250057,Algodão de Jandaíra,0.87
250060,Alhandra,0.62
250073,Amparo,0.72
250077,Aparecida,0.72
250080,Araçagi,0.28
250090,Arara,0.81
250100,Araruna,0.79
250110,Areia,0.49
250115,Areia de Baraúnas,0.37
250120,Areial,0.78
250130,Aroeiras,0.36
250135,Assunção,0.65
250140,Baía da Traição,0.95
250150,Bananeiras,0.45
250153,Baraúna,0.90
250160,Barra de Santa Rosa,0.76
250157,Barra de Santana,0.72
250170,Barra de São Miguel,0.87
250180,Bayeux,0.54
250190,Belém,0.76
250200,Belém do Brejo do Cruz,0.69
250205,Bernardino Batista,0.59
250210,Boa Ventura,0.51
250215,Boa Vista,0.64
250220,Bom Jesus,0.18
250230,Bom Sucesso,0.56
250240,Bonito de Santa Fé,0.75
250250,Boqueirão,0.74
250270,Borborema,0.77
250280,Brejo do Cruz,0.81
250290,Brejo dos Santos,0.54
250300,Caaporã,0.44
250310,Cabaceiras,0.69
250320,Cabedelo,0.45
250330,Cachoeira dos Índios,0.82
250340,Cacimba de Areia,0.43
250350,Cacimba de Dentro,0.69
250355,Cacimbas,0.62
250360,Caiçara,0.69
250370,Cajazeiras,0.75
250375,Cajazeirinhas,0.76
250380,Caldas Brandão,0.72
250390,Camalaú,0.54
250400,Campina Grande,0.85
250403,Capim,0.62
250407,Caraúbas,0.72
250410,Carrapateira,0.49
250415,Casserengue,0.85
250420,Catingueira,0.52
250430,Catolé do Rocha,0.69
250435,Caturité,0.39
250440,Conceição,0.69
250450,Condado,0.50
250460,Conde,0.35
250470,Congo,0.51
250480,Coremas,0.61
250485,Coxixola,0.72
250490,Cruz do Espírito Santo,0.56
250500,Cubati,0.71
250510,Cuité,0.84
250523,Cuité de Mamanguape,0.56
250520,Cuitegi,0.75
250527,Curral de Cima,0.54
250530,Curral Velho,0.61
250535,Damião,0.78
250540,Desterro,0.54
250560,Diamante,0.46
250570,Dona Inês,0.06
250580,Duas Estradas,0.67
250590,Emas,0.65
250600,Esperança,0.36
250610,Fagundes,0.50
250620,Frei Martinho,0.71
250625,Gado Bravo,0.17
250630,Guarabira,0.63
250640,Gurinhém,0.70
250650,Gurjão,0.80
250660,Ibiara,0.69
250260,Igaracy,0.67
250670,Imaculada,0.64
250680,Ingá,0.80
250690,Itabaiana,0.50
250700,Itaporanga,0.61
250710,Itapororoca,0.79
250720,Itatuba,0.60
250730,Jacaraú,0.71
250740,Jericó,0.59
250750,João Pessoa,0.48
251365,Joca Claudino,0.40
250760,Juarez Távora,0.77
250770,Juazeirinho,0.92
250780,Junco do Seridó,0.80
250790,Juripiranga,0.76
250800,Juru,0.50
250810,Lagoa,0.50
250820,Lagoa de Dentro,0.76
250830,Lagoa Seca,0.61
250840,Lastro,0.67
250850,Livramento,0.68
250855,Logradouro,0.88
250860,Lucena,0.37
250870,Mãe d'Água,0.67
250880,Malta,0.75
250890,Mamanguape,0.65
250900,Manaíra,0.68
250905,Marcação,0.91
250910,Mari,0.55
250915,Marizópolis,0.67
250920,Massaranduba,0.51
250930,Mataraca,0.62
250933,Matinhas,0.54
250937,Mato Grosso,0.45
250939,Maturéia,0.83
250940,Mogeiro,0.70
250950,Montadas,0.84
250960,Monte Horebe,0.97
250970,Monteiro,0.72
250980,Mulungu,0.63
250990,Natuba,0.70
251000,Nazarezinho,0.44
251010,Nova Floresta,0.75
