geocode,Municipio,value
250010,Água Branca,0.07
250020,Aguiar,0.07
250030,Alagoa Grande,0.05
250040,Alagoa Nova,0.03
250050,Alagoinha,0.02
250053,Alcantil,0.01
250057,Algodão de Jandaíra,0.00
250060,Alhandra,0.06
250073,Amparo,0.00
250077,Aparecida,0.01
250080,Araçagi,0.02
250090,Arara,0.04
250100,Araruna,0.08
250110,Areia,0.02
250115,Areia de Baraúnas,0.00
250120,Areial,0.03
250130,Aroeiras,0.03
250135,Assunção,0.02
250140,Baía da Traição,0.02
250150,Bananeiras,0.02
250153,Baraúna,0.01
250160,Barra de Santa Rosa,0.03
250157,Barra de Santana,0.05
250170,Barra de São Miguel,0.06
250180,Bayeux,0.28
250190,Belém,0.02
250200,Belém do Brejo do Cruz,0.02
250205,Bernardino Batista,0.06
250210,Boa Ventura,0.07
250215,Boa Vista,0.03
250220,Bom Jesus,0.00
250230,Bom Sucesso,0.00
250240,Bonito de Santa Fé,0.06
250250,Boqueirão,0.04
250270,Borborema,0.00
250280,Brejo do Cruz,0.02
250290,Brejo dos Santos,0.00
250300,Caaporã,0.05
250310,Cabaceiras,0.01
250320,Cabedelo,0.04
250330,Cachoeira dos Índios,0.10
250340,Cacimba de Areia,0.00
250350,Cacimba de Dentro,0.02
250355,Cacimbas,0.02
250360,Caiçara,0.05
250370,Cajazeiras,0.29
250375,Cajazeirinhas,0.02
250380,Caldas Brandão,0.04
250390,Camalaú,0.33
250400,Campina Grande,0.08
250403,Capim,0.02
250407,Caraúbas,0.01
250410,Carrapateira,0.00
250415,Casserengue,0.02
250420,Catingueira,0.22
250430,Catolé do Rocha,0.07
250435,Caturité,0.01
250440,Conceição,0.05
250450,Condado,0.05
250460,Conde,0.05
250470,Congo,0.02
250480,Coremas,0.01
250485,Coxixola,0.03
250490,Cruz do Espírito Santo,0.09
250500,Cubati,0.01
250510,Cuité,0.02
250523,Cuité de Mamanguape,0.06
250520,Cuitegi,0.04
250527,Curral de Cima,0.16
250530,Curral Velho,0.33
250535,Damião,0.02
250540,Desterro,0.03
250560,Diamante,0.02
250570,Dona Inês,0.02
250580,Duas Estradas,0.01
250590,Emas,0.10
250600,Esperança,0.08
250610,Fagundes,0.09
250620,Frei Martinho,0.04
250625,Gado Bravo,0.02
250630,Guarabira,0.03
250640,Gurinhém,0.05
250650,Gurjão,0.06
250660,Ibiara,0.02
250260,Igaracy,0.50
250670,Imaculada,0.03
250680,Ingá,0.03
250690,Itabaiana,0.09
250700,Itaporanga,0.07
250710,Itapororoca,0.04
250720,Itatuba,0.03
250730,Jacaraú,0.03
250740,Jericó,0.20
250750,João Pessoa,0.08
251365,Joca Claudino,0.00
250760,Juarez Távora,0.02
250770,Juazeirinho,0.02
250780,Junco do Seridó,0.06
250790,Juripiranga,0.05
250800,Juru,0.01
250810,Lagoa,0.00
250820,Lagoa de Dentro,0.01
250830,Lagoa Seca,0.04
250840,Lastro,0.00
250850,Livramento,0.00
250855,Logradouro,0.47
250860,Lucena,0.04
250870,Mãe d'Água,0.07
250880,Malta,0.07
250890,Mamanguape,0.04
250900,Manaíra,0.17
250905,Marcação,0.04
250910,Mari,0.02
250915,Marizópolis,0.04
250920,Massaranduba,0.04
250930,Mataraca,0.07
250933,Matinhas,0.04
250937,Mato Grosso,0.06
250939,Maturéia,0.08
250940,Mogeiro,0.07
250950,Montadas,0.02
250960,Monte Horebe,0.00
250970,Monteiro,0.16
250980,Mulungu,0.02
250990,Natuba,0.01
251000,Nazarezinho,0.06
251010,Nova Floresta,0.02
251020,Nova Olinda,0.50
251030,Nova Palmeira,0.00
251040,Olho d'Água,0.12
251050,Olivedos,0.02
251060,Ouro Velho,0.00
251065,Parari,1.00
251070,Passagem,0.00
251080,Patos,0.05
251090,Paulista,0.04
251100,Pedra Branca,0.00
251110,Pedra Lavrada,0.03
251120,Pedras de Fogo,0.04
251272,Pedro Régis,0.02
251130,Piancó,0.05
251140,Picuí,0.02
251150,Pilar,0.02
251160,Pilões,0.05
251170,Pilõezinhos,0.02
251180,Pirpirituba,0.29
251190,Pitimbu,0.03
251200,Pocinhos,0.04
251203,Poço Dantas,0.20
251207,Poço de José de Moura,0.00
251210,Pombal,0.04
251220,Prata,0.67
251230,Princesa Isabel,0.06
251240,Puxinanã,0.33
251250,Queimadas,0.04
251260,Quixabá,0.23
251270,Remígio,0.04
251274,Riachão,0.04
251275,Riachão do Bacamarte,0.02
251276,Riachão do Poço,0.03
251278,Riacho de Santo Antônio,0.00
251280,Riacho dos Cavalos,0.05
251290,Rio Tinto,0.03
251300,Salgadinho,0.00
251310,Salgado de São Félix,0.03
251315,Santa Cecília,0.00
251320,Santa Cruz,0.08
251330,Santa Helena,0.04
251335,Santa Inês,0.06
251340,Santa Luzia,0.06
251370,Santa Rita,0.04
251380,Santa Teresinha,0.03
251350,Santana de Mangueira,0.11
251360,Santana dos Garrotes,0.16
251385,Santo André,0.00
251392,São Bentinho,0.01
251390,São Bento,0.04
251396,São Domingos,0.00
251394,São Domingos do Cariri,0.03
251398,São Francisco,0.09
251400,São João do Cariri,0.03
250070,São João do Rio do Peixe,0.04
251410,São João do Tigre,0.05
251420,São José da Lagoa Tapada,0.02
251430,São José de Caiana,0.10
251440,São José de Espinharas,0.03
251450,São José de Piranhas,0.06
251455,São José de Princesa,0.00
251460,São José do Bonfim,0.08
251465,São José do Brejo do Cruz,0.05
251470,São José do Sabugi,0.00
251480,São José dos Cordeiros,0.02
251445,São José dos Ramos,0.03
251490,São Mamede,0.13
251500,São Miguel de Taipu,0.69
251510,São Sebastião de Lagoa de Roça,0.01
251520,São Sebastião do Umbuzeiro,0.14
251540,São Vicente do Seridó,0.10
251530,Sapé,0.06
251550,Serra Branca,0.03
251560,Serra da Raiz,0.06
251570,Serra Grande,0.08
251580,Serra Redonda,0.05
251590,Serraria,0.04
251593,Sertãozinho,0.01
251597,Sobrado,0.07
251600,Solânea,0.02
251610,Soledade,0.04
251615,Sossêgo,0.00
251620,Sousa,0.04
251630,Sumé,0.03
251640,Tacima,0.15
251650,Taperoá,0.03
251660,Tavares,0.01
251670,Teixeira,0.03
251675,Tenório,0.00
251680,Triunfo,0.02
251690,Uiraúna,0.70
251700,Umbuzeiro,0.03
251710,Várzea,0.00
251720,Vieirópolis,0.44
250550,Vista Serrana,0.06
251740,Zabelê,0.09
