geocode,Municipio,value
250010,Água Branca,0.37
250020,Aguiar,0.44
250030,Alagoa Grande,0.58
250040,Alagoa Nova,0.45
250050,Alagoinha,0.63
250053,Alcantil,0.33
250057,Algodão de Jandaíra,0.47
250060,Alhandra,0.58
250073,Amparo,0.46
250077,Aparecida,0.42
250080,Araçagi,0.34
250090,Arara,0.68
250100,Araruna,0.44
250110,Areia,0.57
250115,Areia de Baraúnas,0.48
250120,Areial,0.68
250130,Aroeiras,0.45
250135,Assunção,0.79
250140,Baía da Traição,0.33
250150,Bananeiras,0.34
250153,Baraúna,0.73
250160,Barra de Santa Rosa,0.52
250157,Barra de Santana,0.00
250170,Barra de São Miguel,0.36
250180,Bayeux,0.99
250190,Belém,0.81
250200,Belém do Brejo do Cruz,0.71
250205,Bernardino Batista,0.21
250210,Boa Ventura,0.57
250215,Boa Vista,0.47
250220,Bom Jesus,0.35
250230,Bom Sucesso,0.34
250240,Bonito de Santa Fé,0.65
250250,Boqueirão,0.68
250270,Borborema,0.70
250280,Brejo do Cruz,0.73
250290,Brejo dos Santos,0.72
250300,Caaporã,0.85
250310,Cabaceiras,0.39
250320,Cabedelo,1.00
250330,Cachoeira dos Índios,0.29
250340,Cacimba de Areia,0.42
250350,Cacimba de Dentro,0.50
250355,Cacimbas,0.17
250360,Caiçara,0.69
250370,Cajazeiras,0.79
250375,Cajazeirinhas,0.26
250380,Caldas Brandão,0.53
250390,Camalaú,0.45
250400,Campina Grande,0.95
250403,Capim,0.71
250407,Caraúbas,0.33
250410,Carrapateira,0.69
250415,Casserengue,0.44
250420,Catingueira,0.56
250430,Catolé do Rocha,0.72
250435,Caturité,0.15
250440,Conceição,0.59
250450,Condado,0.66
250460,Conde,0.65
250470,Congo,0.59
250480,Coremas,0.73
250485,Coxixola,0.39
250490,Cruz do Espírito Santo,0.40
250500,Cubati,0.66
250510,Cuité,0.64
250523,Cuité de Mamanguape,0.27
250520,Cuitegi,0.80
250527,Curral de Cima,0.00
250530,Curral Velho,0.52
250535,Damião,0.41
250540,Desterro,0.57
250560,Diamante,0.54
250570,Dona Inês,0.39
250580,Duas Estradas,0.76
250590,Emas,0.61
250600,Esperança,0.67
250610,Fagundes,0.43
250620,Frei Martinho,0.58
250625,Gado Bravo,0.02
250630,Guarabira,0.87
250640,Gurinhém,0.36
250650,Gurjão,0.64
250660,Ibiara,0.57
250260,Igaracy,0.64
250670,Imaculada,0.39
250680,Ingá,0.60
250690,Itabaiana,0.79
250700,Itaporanga,0.74
250710,Itapororoca,0.60
250720,Itatuba,0.54
250730,Jacaraú,0.53
250740,Jericó,0.59
250750,João Pessoa,1.00
251365,Joca Claudino,0.25
250760,Juarez Távora,0.76
250770,Juazeirinho,0.50
250780,Junco do Seridó,0.62
250790,Juripiranga,0.93
250800,Juru,0.39
250810,Lagoa,0.44
250820,Lagoa de Dentro,0.49
250830,Lagoa Seca,0.35
250840,Lastro,0.42
250850,Livramento,0.48
250855,Logradouro,0.38
250860,Lucena,0.85
250870,Mãe d'Água,0.33
250880,Malta,0.86
250890,Mamanguape,0.79
250900,Manaíra,0.52
250905,Marcação,0.31
250910,Mari,0.81
250915,Marizópolis,0.86
250920,Massaranduba,0.28
250930,Mataraca,0.87
250933,Matinhas,0.08
250937,Mato Grosso,0.39
250939,Maturéia,0.62
250940,Mogeiro,0.39
250950,Montadas,0.60
250960,Monte Horebe,0.51
250970,Monteiro,0.62
250980,Mulungu,0.43
250990,Natuba,0.28
251000,Nazarezinho,0.38
251010,Nova Floresta,0.72
251020,Nova Olinda,0.49
251030,Nova Palmeira,0.54
251040,Olho d'Água,0.51
251050,Olivedos,0.48
251060,Ouro Velho,0.67
251065,Parari,0.51
251070,Passagem,0.45
251080,Patos,0.96
251090,Paulista,0.43
251100,Pedra Branca,0.60
251110,Pedra Lavrada,0.35
251120,Pedras de Fogo,0.57
251272,Pedro Régis,0.31
251130,Piancó,0.70
251140,Picuí,0.63
251150,Pilar,0.65
251160,Pilões,0.43
251170,Pilõezinhos,0.49
251180,Pirpirituba,0.74
251190,Pitimbu,0.57
251200,Pocinhos,0.52
251203,Poço Dantas,0.19
251207,Poço de José de Moura,0.30
251210,Pombal,0.78
251220,Prata,0.60
251230,Princesa Isabel,0.65
251240,Puxinanã,0.26
251250,Queimadas,0.50
251260,Quixabá,0.31
251270,Remígio,0.71
251274,Riachão,0.58
251275,Riachão do Bacamarte,0.59
251276,Riachão do Poço,0.24
251278,Riacho de Santo Antônio,0.66
251280,Riacho dos Cavalos,0.43
251290,Rio Tinto,0.53
251300,Salgadinho,0.28
251310,Salgado de São Félix,0.38
251315,Santa Cecília,0.21
251320,Santa Cruz,0.41
251330,Santa Helena,0.45
251335,Santa Inês,0.35
251340,Santa Luzia,0.91
251370,Santa Rita,0.85
251380,Santa Teresinha,0.43
251350,Santana de Mangueira,0.36
251360,Santana dos Garrotes,0.47
251385,Santo André,0.26
251392,São Bentinho,0.66
251390,São Bento,0.79
251396,São Domingos,0.28
251394,São Domingos do Cariri,0.37
251398,São Francisco,0.35
251400,São João do Cariri,0.50
250070,São João do Rio do Peixe,0.32
251410,São João do Tigre,0.28
251420,São José da Lagoa Tapada,0.38
251430,São José de Caiana,0.40
251440,São José de Espinharas,0.28
251450,São José de Piranhas,0.52
251455,São José de Princesa,0.08
251460,São José do Bonfim,0.36
251465,São José do Brejo do Cruz,0.53
251470,São José do Sabugi,0.61
251480,São José dos Cordeiros,0.35
251445,São José dos Ramos,0.38
251490,São Mamede,0.74
