geocode,Municipio,value
250010,Água Branca,0.53
250020,Aguiar,0.36
250030,Alagoa Grande,0.31
250040,Alagoa Nova,0.47
250050,Alagoinha,0.43
250053,Alcantil,0.55
250057,Algodão de Jandaíra,0.79
250060,Alhandra,0.40
250073,Amparo,0.56
250077,Aparecida,0.44
250080,Araçagi,0.50
250090,Arara,0.20
250100,Araruna,0.43
250110,Areia,0.36
250115,Areia de Baraúnas,0.53
250120,Areial,0.09
250130,Aroeiras,0.26
250135,Assunção,0.62
250140,Baía da Traição,0.61
250150,Bananeiras,0.43
250153,Baraúna,0.54
250160,Barra de Santa Rosa,0.54
250157,Barra de Santana,0.63
250170,Barra de São Miguel,0.89
250180,Bayeux,0.18
250190,Belém,0.34
250200,Belém do Brejo do Cruz,0.62
250205,Bernardino Batista,0.20
250210,Boa Ventura,0.61
250215,Boa Vista,0.46
250220,Bom Jesus,0.67
250230,Bom Sucesso,0.40
250240,Bonito de Santa Fé,0.45
250250,Boqueirão,0.41
250270,Borborema,0.54
250280,Brejo do Cruz,0.47
250290,Brejo dos Santos,0.52
250300,Caaporã,0.46
250310,Cabaceiras,0.45
250320,Cabedelo,0.15
250330,Cachoeira dos Índios,0.62
250340,Cacimba de Areia,0.54
250350,Cacimba de Dentro,0.38
250355,Cacimbas,0.24
250360,Caiçara,0.56
250370,Cajazeiras,0.17
250375,Cajazeirinhas,0.72
250380,Caldas Brandão,0.49
250390,Camalaú,0.43
250400,Campina Grande,0.09
250403,Capim,0.58
250407,Caraúbas,0.64
250410,Carrapateira,0.98
250415,Casserengue,0.58
250420,Catingueira,0.56
250430,Catolé do Rocha,0.33
250435,Caturité,0.64
250440,Conceição,0.48
250450,Condado,0.34
250460,Conde,0.59
250470,Congo,0.66
250480,Coremas,0.36
250485,Coxixola,0.84
250490,Cruz do Espírito Santo,0.50
250500,Cubati,0.44
250510,Cuité,0.40
250523,Cuité de Mamanguape,0.53
250520,Cuitegi,0.40
250527,Curral de Cima,0.63
250530,Curral Velho,0.90
250535,Damião,0.57
250540,Desterro,0.32
250560,Diamante,0.60
250570,Dona Inês,0.57
250580,Duas Estradas,0.40
250590,Emas,0.61
250600,Esperança,0.32
250610,Fagundes,0.39
250620,Frei Martinho,0.54
250625,Gado Bravo,0.42
250630,Guarabira,0.24
250640,Gurinhém,0.52
250650,Gurjão,0.38
250660,Ibiara,0.59
250260,Igaracy,0.37
250670,Imaculada,0.58
250680,Ingá,0.30
250690,Itabaiana,0.27
250700,Itaporanga,0.38
250710,Itapororoca,0.60
250720,Itatuba,0.45
250730,Jacaraú,0.47
250740,Jericó,0.37
250750,João Pessoa,0.00
251365,Joca Claudino,0.34
250760,Juarez Távora,0.51
250770,Juazeirinho,0.50
250780,Junco do Seridó,0.55
250790,Juripiranga,0.51
250800,Juru,0.40
250810,Lagoa,0.40
250820,Lagoa de Dentro,0.40
250830,Lagoa Seca,0.64
250840,Lastro,0.40
250850,Livramento,0.39
250855,Logradouro,0.49
250860,Lucena,0.34
250870,Mãe d'Água,0.23
250880,Malta,0.39
250890,Mamanguape,0.57
250900,Manaíra,0.74
250905,Marcação,0.36
250910,Mari,0.34
250915,Marizópolis,0.27
250920,Massaranduba,0.50
250930,Mataraca,0.50
250933,Matinhas,0.52
250937,Mato Grosso,0.34
250939,Maturéia,0.31
250940,Mogeiro,0.49
250950,Montadas,0.57
250960,Monte Horebe,0.30
250970,Monteiro,0.35
250980,Mulungu,0.43
250990,Natuba,0.51
251000,Nazarezinho,0.30
251010,Nova Floresta,0.49
251020,Nova Olinda,0.47
251030,Nova Palmeira,0.26
251040,Olho d'Água,0.73
251050,Olivedos,0.57
251060,Ouro Velho,0.44
251065,Parari,0.46
251070,Passagem,0.12
251080,Patos,0.44
251090,Paulista,0.47
251100,Pedra Branca,0.53
251110,Pedra Lavrada,0.50
251120,Pedras de Fogo,0.56
251272,Pedro Régis,0.17
251130,Piancó,0.39
251140,Picuí,0.39
251150,Pilar,0.60
251160,Pilões,0.42
251170,Pilõezinhos,0.45
251180,Pirpirituba,0.63
251190,Pitimbu,0.51
251200,Pocinhos,0.67
251203,Poço Dantas,0.30
251207,Poço de José de Moura,0.19
251210,Pombal,0.53
251220,Prata,0.38
251230,Princesa Isabel,0.40
251240,Puxinanã,0.30
251250,Queimadas,1.00
251260,Quixabá,0.15
251270,Remígio,0.37
251274,Riachão,0.34
251275,Riachão do Bacamarte,0.55
251276,Riachão do Poço,0.64
251278,Riacho de Santo Antônio,0.71
251280,Riacho dos Cavalos,0.40
251290,Rio Tinto,0.67
251300,Salgadinho,0.32
251310,Salgado de São Félix,0.75
251315,Santa Cecília,0.66
251320,Santa Cruz,0.35
251330,Santa Helena,0.80
251335,Santa Inês,0.28
251340,Santa Luzia,0.25
251370,Santa Rita,0.48
251380,Santa Teresinha,0.64
251350,Santana de Mangueira,0.26
251360,Santana dos Garrotes,0.28
251385,Santo André,0.65
251392,São Bentinho,0.32
251390,São Bento,0.41
251396,São Domingos,0.44
251394,São Domingos do Cariri,0.55
251398,São Francisco,0.42
251400,São João do Cariri,0.33
250070,São João do Rio do Peixe,0.39
251410,São João do Tigre,0.73
251420,São José da Lagoa Tapada,0.31
251430,São José de Caiana,0.67
251440,São José de Espinharas,1.00
251450,São José de Piranhas,0.52
251455,São José de Princesa,0.66
251460,São José do Bonfim,0.59
251465,São José do Brejo do Cruz,0.61
251470,São José do Sabugi,0.70
251480,São José dos Cordeiros,0.49
251445,São José dos Ramos,0.55
251490,São Mamede,0.45
251500,São Miguel de Taipu,0.52
251510,São Sebastião de Lagoa de Roça,0.39
251520,São Sebastião do Umbuzeiro,0.53
251540,São Vicente do Seridó,0.39
251530,Sapé,0.79
251550,Serra Branca,0.34
251560,Serra da Raiz,0.50
251570,Serra Grande,0.62
251580,Serra Redonda,0.15
251590,Serraria,0.46
251593,Sertãozinho,0.33
251597,Sobrado,0.52
251600,Solânea,0.18
251610,Soledade,0.41
251615,Sossêgo,0.52
251620,Sousa,0.26
251630,Sumé,0.43
251640,Tacima,0.59
251650,Taperoá,0.40
251660,Tavares,0.51
251670,Teixeira,0.37
251675,Tenório,0.92
251680,Triunfo,0.46
251690,Uiraúna,0.22
251700,Umbuzeiro,0.28
251710,Várzea,0.65
251720,Vieirópolis,0.59
250550,Vista Serrana,0.87
251740,Zabelê,0.65
